"Pergunta","Categoria","Dificuldade","OpcaoA","OpcaoB","OpcaoC","OpcaoD","RespostaCorreta","Curiosidade"
"Qual é o único metal que permanece em estado líquido à temperatura ambiente?","Ciência e Tecnologia","Fácil","Mercúrio","Chumbo","Alumínio","Ferro","A","O mercúrio é o único elemento metálico líquido em condições normais de temperatura e pressão."
"Qual é o país com a maior extensão territorial do planeta?","Geografia","Fácil","Canadá","China","Estados Unidos","Rússia","D","A Rússia cobre mais de 17 milhões de km² e se estende por 11 fusos horários diferentes."
"Quem escreveu a célebre peça teatral 'Romeu e Julieta'?","Arte e Cultura Pop","Fácil","Charles Dickens","William Shakespeare","Edgar Allan Poe","Miguel de Cervantes","B","Escrita na década de 1590, a tragédia de Shakespeare é uma das obras mais encenadas da dramaturgia mundial."
"Qual país foi a sede da Copa do Mundo de Futebol de 2014, vencida pela Alemanha?","Esportes","Fácil","África do Sul","Brasil","Rússia","França","B","Foi a segunda Copa do Mundo realizada no Brasil, tendo a primeira ocorrido em 1950."
"Em que ano teve início a Primeira Guerra Mundial?","História","Fácil","1914","1918","1939","1945","A","O conflito começou após o assassinato do arquiduque Francisco Ferdinando em Sarajevo, em 1914."
"Qual órgão do corpo humano é o principal responsável pela filtragem do sangue e produção da urina?","Ciência e Tecnologia","Fácil","Fígado","Pâncreas","Rins","Pulmões","C","Os rins filtram aproximadamente 180 litros de sangue todos os dias para eliminar toxinas do organismo."
"Qual é a capital oficial do Japão?","Geografia","Fácil","Quioto","Osaka","Tóquio","Seul","C","Tóquio era originalmente uma vila de pescadores chamada Edo antes de se tornar a capital imperial em 1868."
"Qual personagem do folclore brasileiro tem uma perna só, usa carapuça vermelha e fuma cachimbo?","Arte e Cultura Pop","Fácil","Curupira","Saci-Pererê","Boitatá","Boto Cor-de-Rosa","B","O Dia do Saci é comemorado oficialmente no Brasil em 31 de outubro para celebrar a cultura popular nacional."
"Qual velocista jamaicano detém o recorde mundial dos 100 metros rasos com o tempo de 9,58 segundos?","Esportes","Fácil","Usain Bolt","Carl Lewis","Asafa Powell","Tyson Gay","A","Usain Bolt bateu o recorde mundial durante o Campeonato Mundial de Atletismo de 2009 em Berlim."
"Qual famoso navio transatlântico naufragou em 1912 após colidir com um iceberg em sua viagem inaugural?","História","Fácil","Lusitania","Britannic","Titanic","Santa Maria","C","Os destroços do Titanic foram descobertos a quase 3.800 metros de profundidade no Oceano Atlântico em 1985."
"Qual é o valor aproximado da velocidade da luz no vácuo?","Ciência e Tecnologia","Médio","150.000 km/s","300.000 km/s","450.000 km/s","1.000.000 km/s","B","O valor exato da velocidade da luz no vácuo é de 299.792.458 metros por segundo."
"Qual é a montanha mais alta do mundo em relação ao nível do mar?","Geografia","Médio","K2","Monte Everest","Kilimanjaro","Aconcágua","B","O Monte Everest atinge 8.848,86 metros de altitude na fronteira entre o Nepal e a China."
"Qual pintora mexicana é célebre por seus autorretratos vibrantes e profunda expressão artística de suas dores?","Arte e Cultura Pop","Médio","Tarsila do Amaral","Frida Kahlo","Anita Malfatti","Georgia O'Keeffe","B","Frida Kahlo começou a pintar seriamente após um grave acidente na juventude, tornando-se um ícone global da arte."
"Quem liderou o movimento pacifista de desobediência civil que culminou na independência da Índia?","História","Médio","Mahatma Gandhi","Jawaharlal Nehru","Nelson Mandela","Martin Luther King Jr.","A","Gandhi popularizou a filosofia da 'Satyagraha', princípio de resistência e protesto sem uso de violência."
"No voleibol de quadra, qual jogador veste uniforme diferente e atua exclusivamente na recepção e defesa?","Esportes","Médio","Levantador","Oposto","Central","Líbero","D","A posição de líbero foi criada pela FIVB em 1998 para valorizar as defesas e prolongar os ralis nas partidas."
"Qual é o gás que mais contribui naturalmente para o efeito estufa na atmosfera da Terra?","Ciência e Tecnologia","Médio","Dióxido de Carbono (CO2)","Vapor de Água (H2O)","Metano (CH4)","Ozônio (O3)","B","O vapor de água é responsável pela maior parcela do efeito estufa natural, mantendo o planeta aquecido e habitável."
